RedIzo;Nazev;Ico;AdresaRUIAN;TypZrizovatele;ZrizovatelIco;ZrizovatelNazev;SkolaIzo;SkolaNazev;DruhSkoly;SkolaAdresa;EditorIco;EditorNazev;t1;t2;t3;t4;t5;t6;t7;t8;t9;Stupen
600036723;Mateøská škola Kunratice, Praha 4, Pøedškolní 880;70992193;21884129;2;231134;Mìstská èást Praha - Kunratice;107501139;Mateøská škola;A00;21884129;64581;Hlavní mìsto Praha;;;;;;;;;;
691004811;Mateøská škola Kytlická;71294066;22508945;2;63894;Mìstská èást Praha 9;181043378;Mateøská škola;A00;22508945;64581;Hlavní mìsto Praha;;;;;;;;;;
600038629;Mateøská škola Laudova se speciálními tøídami, Praha 6 - Øepy, Laudova 3/1030;70974161;22250191;2;231223;Mìstská èást Praha 17;107502569;Mateøská škola;A00;22250191;64581;Hlavní mìsto Praha;;;;;;;;;;
600040232;Mateøská škola Letcù, pøíspìvková organizace;70920290;22465839;2;231304;Mìstská èást Praha 19;107503581;Mateøská škola;A00;22465839;64581;Hlavní mìsto Praha;;;;;;;;;;
600035140;Mateøská škola Letenská;70109711;21695300;2;63410;Mìstská èást Praha 1;107500078;Mateøská škola;A00;21695300;64581;Hlavní mìsto Praha;;;;;;;;;;
600038793;Mateøská škola Libocká;70942897;22218165;2;63703;Mìstská èást Praha 6;107502445;Mateøská škola;A00;22218165;64581;Hlavní mìsto Praha;;;;;;;;;;
600040038;Mateøská škola Litvínovská 490;70920362;22517472;2;63894;Mìstská èást Praha 9;107503671;Mateøská škola;A00;22517472;64581;Hlavní mìsto Praha;;;;;;;;;;
600036537;Mateøská škola Lojovická;60437928;21901686;2;231142;Mìstská èást Praha - Libuš;107501155;Mateøská škola;A00;21901686;64581;Hlavní mìsto Praha;;;;;;;;;;
600036618;Mateøská škola Madolinka, Praha 4, Modletická 1402;63108259;21839557;2;231126;Mìstská èást Praha 11;107500876;Mateøská škola;A00;21839557;64581;Hlavní mìsto Praha;;;;;;;;;;
691008531;Mateøská škola Malkovského, pøíspìvková organizace;71294597;22497285;2;231321;Mìstská èást Praha 18;181020165;Mateøská škola;A00;22497285;64581;Hlavní mìsto Praha;;;;;;;;;;
600035158;Mateøská škola Masná;70101205;21723427;2;63410;Mìstská èást Praha 1;107500086;Mateøská škola;A00;21723427;64581;Hlavní mìsto Praha;;;;;;;;;;
600036456;Mateøská škola Mezi Domy;60437944;21958807;2;231142;Mìstská èást Praha - Libuš;102401551;Mateøská škola;A00;21958807;64581;Hlavní mìsto Praha;;;;;;;;;;
600038807;Mateøská škola Meziškolská;63834359;70867640;2;63703;Mìstská èást Praha 6;107502267;Mateøská škola;A00;70867640;64581;Hlavní mìsto Praha;;;;;;;;;;
600036103;Mateøská škola Milíèùv dùm, Praha 3, Sauerova 2/1836;63831261;21787239;2;63517;Mìstská èást Praha 3;181149346;Mateøská škola (lesní mateøská škola);A00;;64581;Hlavní mìsto Praha;;;;;;;;;;
600036103;Mateøská škola Milíèùv dùm, Praha 3, Sauerova 2/1836;63831261;21787239;2;63517;Mìstská èást Praha 3;48134791;Mateøská škola;A00;21787239;64581;Hlavní mìsto Praha;;;;;;;;;;
600037002;Mateøská škola Montessori v Praze 12;63832259;21940011;2;231151;Mìstská èást Praha 12;107501392;Mateøská škola;A00;21940011;64581;Hlavní mìsto Praha;;;;;;;;;;
600038033;Mateøská škola MOTİLEK, Praha 13, Vlasákova 955;63829916;22118284;2;241687;Mìstská èást Praha 13;107502089;Mateøská škola;A00;22118284;64581;Hlavní mìsto Praha;;;;;;;;;;
600038688;Mateøská škola Motılek, pøíspìvková organizace;70921580;22291521;2;63703;Mìstská èást Praha 6;107502721;Mateøská škola;A00;22291521;64581;Hlavní mìsto Praha;;;;;;;;;;
691016275;Mateøská škola Mydlinky v Praze 12, pøíspìvková organizace;17312213;85544531;2;231151;Mìstská èást Praha 12;181132460;Mateøská škola;A00;85544531;64581;Hlavní mìsto Praha;;;;;;;;;;
600038823;Mateøská škola Na Dlouhém lánu;70920681;22290338;2;63703;Mìstská èást Praha 6;107502780;Mateøská škola;A00;22290338;64581;Hlavní mìsto Praha;;;;;;;;;;
600036651;Mateøská škola Na Chodovci, Praha 4, Mìchenická 2540;61384119;21995214;2;63584;Mìstská èást Praha 4;107501601;Mateøská škola;A00;21995214;64581;Hlavní mìsto Praha;;;;;;;;;;
600038831;Mateøská škola Na Okraji;70920753;22736298;2;63703;Mìstská èást Praha 6;107502518;Mateøská škola;A00;22736298;64581;Hlavní mìsto Praha;;;;;;;;;;
600039340;Mateøská škola Nad Kazankou, Praha 7, Nad Kazankou 30;70997373;22314369;2;45246858;Mìstská èást Praha - Troja;107502917;Mateøská škola;A00;22314369;64581;Hlavní mìsto Praha;;;;;;;;;;
